code_mag,nb_client,totalttcn2,totalttcn1,n2_client,n1_client,n1_client_p,diff_ttc,var_ttc,var_client
MET,17997,4826410.130000806,4633844.770000552,18161,18655,50.67090395480226,-192565.3600002546,-3.9898258708532595,2.720114531138153
ALB,12828,2960491.649999989,3049735.090000058,9717,10466,51.855521973938465,89243.44000006886,3.014480382002401,7.708140372542966
ALM,16499,4036788.6100001982,4113500.340000249,14276,15577,52.1790104847084,76711.73000005074,1.9003157561933115,9.11319697394228
AVI,15435,4065939.610000307,3951027.580000341,11904,12889,51.98644778768201,-114912.02999996627,-2.8262109382376583,8.274529569892474
BEA,20714,5739924.270001027,5566069.910000892,14792,16021,51.994288125141985,-173854.36000013445,-3.028861563710201,8.308545159545702
BEC,7977,1470501.1199999107,1485815.7299999127,6092,6683,52.31311154598826,15314.610000001965,1.0414551741383846,9.701247537754432
BLA,11748,2143924.8999998462,2255599.6399998693,7592,8613,53.15026226473311,111674.74000002304,5.208892345064467,13.44836670179136
BRE,10106,2089464.489999749,2121890.2199997944,6429,7539,53.9733676975945,32425.730000045383,1.55186796211355,17.26551563229118
CLA,23744,5847741.890001091,5639065.550000834,16444,17439,51.4682879320013,-208676.3400002569,-3.5684943680066894,6.050839211870591
VAL,16685,3459987.9100001412,2986765.690000101,11995,11776,49.539354675865546,-473222.22000004025,-13.676990564976307,-1.825760733639016
DIJ,12603,3043839.410000038,2900305.7200000226,10906,11524,51.37761925991975,-143533.6900000153,-4.715547394795494,5.666605538235833
DUM,6761,2208888.8799998453,2458296.7699998836,8058,9279,53.52137047932168,249407.89000003831,11.291101705399313,15.152643335815338
ECU,15410,4112227.4400003036,4274237.600000423,14485,15813,52.19156379959073,162010.16000011982,3.9397178868128915,9.168104936140836
FEG,10561,2347398.2599998424,2161775.779999833,8570,8741,50.49390560915025,-185622.4800000093,-7.9075836070536125,1.9953325554259043
FRV,15377,3922133.3700001906,3764133.9200002267,13292,14205,51.66018111066661,-157999.44999996386,-4.028405846891336,6.86879325910322
GAI,16162,6143169.420000856,5666500.73000056,16405,16478,50.11099960465894,-476668.69000029564,-7.7593284086934595,0.4449862846693082
GAP,8137,2080513.4799997853,1926180.9699997671,6869,6997,50.461560651954414,-154332.51000001817,-7.4180009638790745,1.8634444606201777
GEX,19278,7388908.230001432,6957685.710001129,15544,15865,50.511000031838,-431222.52000030316,-5.836078979156838,2.0651055069480186
HAG,4780,801071.0799999915,848128.8699999892,4028,4653,53.5998156894367,47057.78999999771,5.874358864633861,15.51638530287984
HEI,23500,5834749.580001501,5796841.230001307,16999,18558,52.192254689653225,-37908.350000194274,-0.6496996911422636,9.171127713394906
IAB,16885,3222142.1700001904,3239040.8900001356,11975,13749,53.44814181309283,16898.719999945257,0.5244560639589736,14.81419624217119
LAB,11058,2053101.7899997935,2021049.8599997496,7684,8448,52.3679642945698,-32051.93000004394,-1.5611466589801746,9.942738157209787
MAC,14632,2798360.470000077,2821781.5100000296,10776,11829,52.32913072329131,23421.03999995254,0.8369557907581469,9.771714922048998
MOB,18929,5977004.790001128,6384418.040001127,16342,18240,52.74420218610838,407413.24999999907,6.816344713016738,11.614245502386488
MOU,24389,6349088.35000141,6045145.650000963,16780,18111,51.90736866240577,-303942.7000004463,-4.787186494268564,7.932061978545887
MUL,14240,3332191.1600000807,3172041.5100000384,10105,10333,50.55778451903318,-160149.65000004228,-4.806136332227663,2.256308758040574
OBE,9709,1793099.2399997762,1796715.7699997572,7552,8122,51.818297818042616,3616.529999980936,0.20169156950740702,7.547669491525423
PEG,11012,2118864.4299997464,2044229.969999704,7778,8164,51.21063856479739,-74634.46000004234,-3.5223801458619644,4.962715350989972
PEP,7609,1315595.2099999264,1225988.6499999575,4912,4952,50.20275750202757,-89606.55999996886,-6.811104154139773,0.8143322475570033
PON,11788,2577362.879999954,2363867.8499998483,9882,9625,49.34126211103707,-213495.0300001055,-8.283468022947135,-2.6006881198138028
PRI,26935,5528750.330001195,5557473.280000893,22413,24231,51.94880370465654,28722.949999698438,0.5195197519380882,8.111363940570204
QUE,11699,1783723.0899997188,1898024.2899997667,9924,11364,53.38218714768884,114301.20000004792,6.4080125800281,14.510278113663846
RAV,11396,2625700.87000007,2302863.7599998387,9425,9524,50.26122750540926,-322837.1100002313,-12.295273756763567,1.0503978779840848
SAL,3124,605824.6000000008,664168.6199999999,2621,3065,53.904326415758,58344.01999999909,9.630513518268986,16.940099198779095
SCH,5526,979934.8099999769,624613.9199999996,4555,3530,43.66110080395795,-355320.8899999773,-36.25964567989841,-22.502744237102085
SEM,10360,1959365.3699998201,1781800.2099998775,6875,6440,48.36650394292152,-177565.15999994264,-9.062381254597703,-6.327272727272727
SEY,25967,4336406.700001001,4400118.800001026,19712,21518,52.19015280135824,63712.10000002477,1.4692371912443098,9.161931818181818
SGL,8846,1575548.1899998256,1450191.3399998636,6682,6652,49.88750562471876,-125356.84999996191,-7.956395798974311,-0.4489673750374139
SJV,11065,2254727.339999814,2414626.019999852,8658,9430,52.13401149933657,159898.6800000379,7.091708037746643,8.916608916608917
SMR,12532,3044483.669999926,3063414.70000006,9628,10005,50.960118168389954,18931.030000133906,0.6218141416450549,3.91566265060241
SNO,10828,2071762.5699997742,2292897.869999755,9927,12165,55.065181966322655,221135.29999998095,10.673776194344754,22.54457540042309
SSM,23601,6413411.930001247,6842402.95000134,16400,18358,52.81661775706312,428991.0200000936,6.688967193785262,11.939024390243901
STE,12001,2526952.2399999336,2279578.339999824,9519,9388,49.65356746178664,-247373.9000001098,-9.789417310084037,-1.3761949784641243
SUR,23784,4807772.470000103,4966887.740000404,14926,15674,51.22222222222222,159115.2700003013,3.30954243348995,5.0113895216400905
THO,10549,2897265.2700000987,2979303.9800000633,8111,8842,52.155960596944496,82038.70999996457,2.831591254326594,9.01245222537295
VAR,12948,3150351.970000179,2701641.4799999967,12025,11756,49.43442243808082,-448710.4900001823,-14.243185976459538,-2.237006237006237
VIB,24640,4402349.510000291,4323459.040000307,19105,20604,51.887481427384216,-78890.4699999839,-1.7920083314779494,7.84611358283172
VIC,11556,2114766.4999997695,2133378.759999784,7703,8455,52.327020670875115,18612.260000014678,0.8801094588937695,9.762430221991432
VIF,14180,2709178.849999902,2586192.369999914,10052,10526,51.15171542423948,-122986.47999998787,-4.53962203344354,4.715479506565858
VIT,14673,3007212.4299999806,3089915.2600000417,10930,12106,52.55252648029172,82702.83000006108,2.7501492470241486,10.759377859103385
VLG,22541,6212516.500001157,5653657.78000091,19855,19603,49.680673120786665,-558858.7200002465,-8.995689910845991,-1.2692017124150088
POC,10182,2406910.179999903,2235013.5399999223,6688,6658,49.88760677356511,-171896.63999998057,-7.1417970403859234,-0.4485645933014354
MAN,11343,2719688.2599999225,2461591.48999987,8905,8749,49.55817378497791,-258096.77000005264,-9.489939482992805,-1.7518248175182483
VEN,10544,3354293.2000001767,3182815.7000000346,11411,11742,50.71481017578715,-171477.50000014203,-5.112179817796876,2.9007098413811234
EPN,8800,1748055.5399998967,1821401.0199998638,6283,7123,53.13292555572132,73345.47999996715,4.195832358963348,13.3694095177463
ORL,9891,2695002.7099999036,2467711.9799999204,6981,7229,50.87262491203378,-227290.72999998322,-8.4337848402383,3.5524996418851167
SMA,5413,1741263.9999998834,1490879.739999911,4783,4489,48.414581535806725,-250384.2599999723,-14.379454235543207,-6.146769809742839
CLI,4454,918075.6399999893,794102.3099999959,3297,3072,48.23363165332077,-123973.32999999344,-13.50360739339461,-6.824385805277525
SLM,7894,1366815.6399998972,1431044.5899998436,5448,5742,51.31367292225201,64228.9499999464,4.699167036159407,5.39647577092511
BAR,1321,455609.35000000976,511120.3100000148,1331,1486,52.75115370962017,55510.96000000503,12.18389394335385,11.645379413974455
EST,1273,,,0,0,,,,
VIV,3632,923415.8799999863,973409.269999981,3126,3465,52.57168866636322,49993.389999994775,5.413962558234922,10.844529750479847
STR,2946,670530.0200000064,642991.5600000047,3101,3048,49.56903561554724,-27538.46000000171,-4.1069689914854886,-1.7091260883585941
NEV,7007,1987411.679999658,1769606.9399997094,10268,9925,49.150695785668304,-217804.73999994854,-10.959216059351428,-3.3404752629528636
BSN,10302,2020922.3299998746,1665792.8599999323,7137,6082,46.0095317346244,-355129.46999994223,-17.572643180203976,-14.782121339498389
CAG,9071,1697422.1399999205,1792635.3299998676,7955,8978,53.02072875450305,95213.18999994709,5.609281731175696,12.859836580766814
RMA,6499,1108075.4299999909,2656633.9399999594,4620,8182,63.9118887673801,1548558.5099999686,139.75208438652786,77.0995670995671
